#FamilyID	human<0>	chimp<1>	orang<2>	<3>	baboon<4>	macaque<5>	gibbon<6>	<7>	<8>	<9>	horse<10>	cat<11>	marmoset<12>	<13>	cow<14>	<15>	mouse<16>	rat<17>	<18>	<19>	<20>	<21>	<22>	
57	0.0750756	0.189318	0.732628	0.667826	0.0731329	0.000210963	0.757205	0.570332	0.452062	0.677004	0.724644	0.905739	0.625807	0.780356	0.908931	0.626108	0.86528	0.86528	0.896005	0.811034	0.921238	0.870302	N/A
58	1.98481e-08	7.45239e-06	3.26376e-06	0.667826	0.176646	0.6154	0.00038848	0.0370891	0.439481	0.670467	0.545948	0.0279515	0.407052	0.773506	0.206332	0.620807	0.856114	0.602769	0.89288	0.804794	0.760594	0.866147	N/A
59	2.8105e-23	0.189318	0.342815	0.0232491	0.176646	0.0691668	0.384814	0.563675	0.766137	0.663691	0.689988	0.689988	0.0739192	0.76617	0.699604	0.604131	0.167996	0.633305	0.48136	0.470706	0.180382	0.61501	N/A
60	0.0712239	0.181084	0.725507	0.661466	0.00486514	0.0006266	0.00423327	0.567024	0.773474	0.670467	0.414009	0.557127	0.861778	0.773506	0.908931	0.626108	0.417298	0.86528	0.699008	0.811034	0.921238	0.870302	N/A
62	0.0113323	0.612871	0.1595	0.654889	0.00386404	0.609842	0.742608	0.563675	0.426164	0.663691	0.557127	0.414009	0.240287	0.76617	0.148294	0.626108	0.0294875	0.0587819	0.371172	0.811034	0.630787	0.644705	N/A
63	0.601812	0.000111721	0.00854564	1.77783e-06	0.149912	0.598321	1.13767e-05	0.5736	8.31957e-05	0.118974	0.905739	0.0319869	0.160211	0.780356	0.062531	0.626108	0.0800453	0.0101477	0.896005	0.811034	0.767032	0.870302	N/A
64	0.00058091	0.618213	0.167883	0.661466	0.620828	0.185195	0.398005	0.567024	0.773474	0.670467	0.902968	0.902968	0.00884562	0.218601	0.559041	0.620807	0.860918	0.404637	0.690763	0.804794	0.918985	0.866147	N/A
65	3.46898e-08	0.205303	0.0302642	0.116288	0.0145447	0.00540347	0.0899472	0.5736	0.780324	0.118974	0.357214	0.689988	0.0397264	0.0921306	0.896594	0.604131	0.377038	0.590824	0.200812	0.782694	0.576777	0.850845	N/A
66	1.61844e-11	0.00566469	0.176131	0.110794	0.0731329	0.185195	5.39435e-11	0.0370891	0.773474	0.670467	0.357214	0.00937439	0.604765	0.218601	0.106633	0.604131	0.0262501	0.633305	0.48136	0.470706	0.180382	0.61501	N/A
68	2.13341e-10	8.73795e-18	0.628691	0.584406	1.56054e-06	0.101453	1.39997e-05	0.531627	0.683583	0.151632	0.00135096	1.98812e-08	0.00898011	0.683614	0.00573306	0.636345	0.42855	0.0010632	2.07501e-07	0.302155	0.000150865	0.00789666	N/A
69	1.29176e-05	0.164112	0.150983	0.648088	0.01066	0.00386404	0.37093	0.560286	0.75827	0.656666	0.708846	0.533904	0.851732	0.758302	0.547242	0.615379	0.850795	0.850795	0.681803	0.798031	0.753591	0.861569	N/A
